post_id;post_type;title;permalink;keyword;seo_meta_title;description
2869;product;F-00024M;http://artibaltika/product/f-00130/;;;
2870;product;F-00396M;http://artibaltika/product/f-00296/;;;
2871;product;F-01179M;http://artibaltika/product/f-00590/;;;
2872;product;F-00194;http://artibaltika/product/f-00820/;;;
2873;product;F-00916;http://artibaltika/product/f-00927/;;;
2874;product;F-00226XM;http://artibaltika/product/f-00837/;;;
2875;product;F-00226XX;http://artibaltika/product/f-00028x/;;;
2876;product;F-00360XX;http://artibaltika/product/f-00763/;;;
2877;product;F-00223;http://artibaltika/product/f-00285x/;;;
2878;product;F-00195;http://artibaltika/product/f-00236x/;;;
2879;product;F-00402;http://artibaltika/product/f-00651x/;;;
2880;product;F-00499;http://artibaltika/product/f-00783x/;;;
2881;product;F-00090XX;http://artibaltika/product/f-00831x/;;;
2882;product;F-00224;http://artibaltika/product/f-00198x/;;;
2883;product;F-00225;http://artibaltika/product/f-00445x/;;;
2886;product;F-00292;http://artibaltika/product/f-00360x/;;;
2887;product;F-00926;http://artibaltika/product/f-01021x/;;;
2888;product;F-00079;http://artibaltika/product/f-00226x/;;;
2889;product;F-00082;http://artibaltika/product/f-00833x/;;;
2890;product;F-00032;http://artibaltika/product/f-00966x/;;;
2891;product;F-00036;http://artibaltika/product/f-00095x/;;;
2892;product;F-00118;http://artibaltika/product/f-00121x/;;;
2893;product;F-00758;http://artibaltika/product/f-00652x/;;;
2894;product;F-01065;http://artibaltika/product/f-00830x/;;;
2895;product;F-00296;http://artibaltika/product/f-00933/;;;
2896;product;F-00086;http://artibaltika/product/f-00077x/;;;
2897;product;F-00130;http://artibaltika/product/f-00612x/;;;
2898;product;F-00590;http://artibaltika/product/f-00829x/;;;
2899;product;F-00837;http://artibaltika/product/f-00238x/;;;
2900;product;F-00820;http://artibaltika/product/f-00716x/;;;
2901;product;F-00927;http://artibaltika/product/f-00543x/;;;
2902;product;F-00028X;http://artibaltika/product/f-01039x/;;;
2903;product;F-00285X;http://artibaltika/product/f-00229x/;;;
2904;product;F-00236X;http://artibaltika/product/f-01018x/;;;
2905;product;F-00651X;http://artibaltika/product/f-01092x/;;;
2906;product;F-00783X;http://artibaltika/product/f-00474x/;;;
2907;product;F-00831X;http://artibaltika/product/f-00397x/;;;
2908;product;F-00198X;http://artibaltika/product/f-01129x/;;;
2909;product;F-00226X;http://artibaltika/product/f-00919x/;;;
2910;product;F-00360X;http://artibaltika/product/f-00228x/;;;
