"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
,,"2644","59","F-01140","f-01140","http://test6.isite39.ru/?????/f-01140/","SUBARU, DAIHATSU",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","106","In Stock","No","No",,,,,,"Publish","Open"
,,"2645","60","F-00313X","f-00313x","http://test6.isite39.ru/?????/f-00313x/","Ремонтный размер",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","37","In Stock","No","No",,,,,,"Publish","Open"
,,"2646","61","F-00993X","f-00993x","http://test6.isite39.ru/?????/f-00993x/","Ремонтный размер",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","300","In Stock","No","No",,,,,,"Publish","Open"
,,"2647","62","F-00163X","f-00163x","http://test6.isite39.ru/?????/f-00163x/","Ремонтный размер",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","266","In Stock","No","No",,,,,,"Publish","Open"
,,"2648","63","F-00307","f-00307","http://test6.isite39.ru/?????/f-00307/","SUBARU",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","72","In Stock","No","No",,,,,,"Publish","Open"
,,"2649","64","F-00313","f-00313","http://test6.isite39.ru/?????/f-00313/","WV",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","166","In Stock","No","No",,,,,,"Publish","Open"
,,"2650","65","F-00484","f-00484","http://test6.isite39.ru/?????/f-00484/","NISSAN",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","912","In Stock","No","No",,,,,,"Publish","Open"
,,"2651","66","F-00459","f-00459","http://test6.isite39.ru/?????/f-00459/","TOYOTA",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","54","In Stock","No","No",,,,,,"Publish","Open"
,,"2652","67","F-00993","f-00993","http://test6.isite39.ru/?????/f-00993/","NISSAN, INFINITI",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","11","In Stock","No","No",,,,,,"Publish","Open"
,,"2653","68","F-00110","f-00110","http://test6.isite39.ru/?????/f-00110/","RENAULT, SUZUKI",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","150","In Stock","No","No",,,,,,"Publish","Open"
,,"2654","69","F-00740","f-00740","http://test6.isite39.ru/?????/f-00740/","MAZDA, HONDA",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","150","In Stock","No","No",,,,,,"Publish","Open"
,,"2655","70","F-00111","f-00111","http://test6.isite39.ru/?????/f-00111/","NISSAN, INFINITI",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","200","In Stock","No","No",,,,,,"Publish","Open"
,,"2656","71","F-00315","f-00315","http://test6.isite39.ru/?????/f-00315/","VOLVO",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","187","In Stock","No","No",,,,,,"Publish","Open"
,,"2657","72","F-00769","f-00769","http://test6.isite39.ru/?????/f-00769/","FORD",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","186","In Stock","No","No",,,,,,"Publish","Open"
,,"2658","73","F-00114","f-00114","http://test6.isite39.ru/?????/f-00114/","TOYOTA, LEXUS",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","84","In Stock","No","No",,,,,,"Publish","Open"
,,"2659","74","F-00366","f-00366","http://test6.isite39.ru/?????/f-00366/","MITSUBISHI",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","84","In Stock","No","No",,,,,,"Publish","Open"
,,"2660","75","F-00403","f-00403","http://test6.isite39.ru/?????/f-00403/","NISSAN, OPEL",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","83","In Stock","No","No",,,,,,"Publish","Open"
,,"2661","76","F-00600","f-00600","http://test6.isite39.ru/?????/f-00600/","VOLVO, RENAULT",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","83","In Stock","No","No",,,,,,"Publish","Open"
,,"2662","77","F-00779","f-00779","http://test6.isite39.ru/?????/f-00779/","HYUNDAI, KIA",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","83","In Stock","No","No",,,,,,"Publish","Open"
