"Product SKU","Product Name","Price","Quantity","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"O-02859B","O-02859B","40","20","50*55*2.5","","O-Ring","","","","",""
"O-02776","O-02776","40","20","50*54*2","","O-Ring","","","","",""
"O-02614","O-02614","20","20","5.5*8.5*1.5","","O-Ring","","","","",""
"O-02802","O-02802","20","20","5*10*2.5","","O-Ring","","","","",""
"O-02706","O-02706","20","20","5*9*2","","O-Ring","","","","",""
"O-02613","O-02613","20","20","5*8*1.5","","O-Ring","","","","",""
"O-03039","O-03039","60","20","49*57*4","","O-Ring","","","","",""
"O-02933A","O-02933A","60","20","49*55*3","","O-Ring","","","","",""
"O-02837","O-02837","60","20","49*54*2.5","","O-Ring","","","","",""
"O-02775A","O-02775A","40","20","49*53*2","","O-Ring","","","","",""
"O-03038","O-03038","60","20","48*56*4","","O-Ring","","","","",""
"O-02933","O-02933","40","20","","","","","","","",""
"O-02859A","O-02859A","40","20","48*53*2.5","","O-Ring","","","","",""
"O-02750","O-02750","40","20","48*52*2","","O-Ring","","","","",""
"O-03037","O-03037","60","20","47*55*4","","O-Ring","","","","",""
"O-02932A","O-02932A","40","20","47*53*3","","O-Ring","","","","",""
"O-02859","O-02859","40","20","47*52*2.5","","O-Ring","","","","",""
"O-02775","O-02775","40","200","47*51*2","","O-Ring","","","","",""
"O-02677","O-02677","40","20","47*50*1.5","","O-Ring","","","","",""
"O-02932","O-02932","40","20","46*52*3","","O-Ring","","","","",""
"O-02748","O-02748","40","20","46*50*2","","O-Ring","","","","",""
"O-03035","O-03035","60","20","45*53*4","","O-Ring","","","","",""
"O-02747","O-02747","40","20","45*49*2","","O-Ring","","","","",""
"O-02675","O-02675","40","20","45*48*1.5","","O-Ring","","","","",""
"O-03034","O-03034","60","20","44*52*4","","O-Ring","","","","",""
"O-02931","O-02931","40","20","44*50*3","","O-Ring","","","","",""
"O-02746","O-02746","40","20","44*48*2","","O-Ring","","","","",""
"O-03033","O-03033","60","20","43*51*4","","O-Ring","","","","",""
"O-02745","O-02745","40","20","43*47*2","","O-Ring","","","","",""
"O-03032","O-03032","60","20","42*50*4","","O-Ring","","","","",""
"O-02928","O-02928","40","20","42*48*3","","O-Ring","","","","",""
"O-02857A","O-02857A","40","20","42*47*2,5","","O-Ring","","","","",""
"O-02774A","O-02774A","20","20","42*46*2","","O-Ring","","","","",""
"O-02672","O-02672","40","20","42*45*1.5","","O-Ring","","","","",""
"O-02774","O-02774","60","20","41*45*2","","O-Ring","","","","",""
"O-03030","O-03030","40","20","40*48*4","","O-Ring","","","","",""
"O-02856B","O-02856B","40","20","40*45*2.5","","O-Ring","","","","",""
"O-02773A","O-02773A","20","20","40*44*2","","O-Ring","","","","",""
"O-02630","O-02630","20","20","40*43*1,5","","O-Ring","","","","",""
"O-02704","O-02704","20","20","4*8*2","","O-Ring","","","","",""
"O-02606","O-02606","20","20","4*7*1.5","","O-Ring","","","","",""
"O-03040","O-03040","40","20","39*47*4","","O-Ring","","","","",""
"O-03029","O-03029","60","20","38*46*4","","O-Ring","","","","",""
"O-02926","O-02926","40","20","38*44*3","","O-Ring","","","","",""
"O-02855A","O-02855A","40","300","38*43*2.5","","O-Ring","","","","",""
"O-02667","O-02667","40","20","38*41*1.5","","O-Ring","","","","",""
"L-10032A","L-10032A","100","30","28*28*16.9","7852 040 192","ПОДЖИМ (ZF)","","","","",""
"L-10031","L-10031","100","30","27*28*16","7840 040 108","ПОДЖИМ (ZF)","","","","",""
"L-10030","L-10030","100","30","25.5*28*16.5","7832 040 145","ПОДЖИМ (ZF)","","","","",""
"L-40130","L-40130","160","30","31.5*34*23","7852 040 130","ПОДЖИМ (ZF)","","","","",""
"L-10032B","L-10032B","100","20","28*28*17","7852 040 122","ПОДЖИМ (ZF)","","","","",""
"O-02925A","O-02925A","40","20","37*43*3","","O-Ring","","","","",""
"O-02731","O-02731","20","20","37*41*2","","O-Ring","","","","",""
"O-03027","O-03027","60","20","36*44*4","","O-Ring","","","","",""
"O-02925V","O-02925V","40","20","36*42*3","","O-Ring","","","","",""
"O-02730","O-02730","20","20","36*40*2","","O-Ring","","","","",""
"O-03026","O-03026","40","20","35*43*4","","O-Ring","","","","",""
"O-02854B","O-02854B","20","300","35*40*2,5","","O-Ring","","","","",""
"O-02720","O-02720","20","20","35*39*2","","O-Ring","","","","",""
"O-03025","O-03025","40","20","34*42*4","","O-Ring","","","","",""
"O-02721","O-02721","40","20","34*38*2","","O-Ring","","","","",""
"O-03024","O-03024","40","20","33*41*4","","O-Ring","","","","",""
"O-02772","O-02772","20","20","33*37*2","","O-Ring","","","","",""
"O-03023","O-03023","40","20","32*40*4","","O-Ring","","","","",""
"L-10083","L-10083","340","20","33.5*37*18","7852 040 200","ПОДЖИМ (ZF)","","","","",""
"O-02923","O-02923","20","20","32*38*3","","O-Ring","","","","",""
"O-02719","O-02719","20","20","32*36*2","","O-Ring","","","","",""
"O-02659","O-02659","40","20","32*35*1.5","","O-Ring","","","","",""
"O-03022","O-03022","40","20","31*39*4","","O-Ring","","","","",""
"O-02930","O-02930","40","20","31*37*3","","O-Ring","","","","",""
"O-02771A","O-02771A","40","20","31*35*2","","O-Ring","","","","",""
"O-03021","O-03021","40","20","30*38*4","","O-Ring","","","","",""
"O-02929","O-02929","40","20","30*36*3","","O-Ring","","","","",""
"O-02718","O-02718","20","20","30*34*2","","O-Ring","","","","",""
"O-02702","O-02702","20","20","3*7*2","","O-Ring","","","","",""
"O-03019","O-03019","40","20","29*37*4","","O-Ring","","","","",""
"O-02769","O-02769","20","20","29*33*2","","O-Ring","","","","",""
"O-02654","O-02654","20","25","29*32*1.5","","O-Ring","","","","",""
"O-02922","O-02922","20","20","28*34*3","","O-Ring","","","","",""
"O-02768","O-02768","20","20","28*32*2","","O-Ring","","","","",""
"O-02652","O-02652","20","20","28*31*1.5","","O-Ring","","","","",""
"O-03017","O-03017","40","20","27*35*4","","O-Ring","","","","",""
"O-02921A","O-02921A","20","20","27*33*3","","O-Ring","","","","",""
"O-02766","O-02766","20","20","27*31*2","","O-Ring","","","","",""
"O-02612","O-02612","20","20","27*30*1.5","","O-Ring","","","","",""
"O-02921","O-02921","40","20","26*32*3","","O-Ring","","","","",""
"O-02717","O-02717","20","20","26*30*2","","O-Ring","","","","",""
"O-02649","O-02649","20","20","26*29*1.5","","O-Ring","","","","",""
"O-03015","O-03015","40","20","25*33*4","","O-Ring","","","","",""
"O-02911","O-02911","20","20","25*31*3","","O-Ring","","","","",""
"O-02716","O-02716","20","20","25*29*2","","O-Ring","","","","",""
"O-02611","O-02611","20","20","25*28*1,5","","O-Ring","","","","",""
"O-02543","O-02543","20","20","25*27*1","","O-Ring","","","","",""
"O-03020","O-03020","40","20","24*32*4","","O-Ring","","","","",""
"O-02910","O-02910","20","20","24*30*3","","O-Ring","","","","",""
"O-02830","O-02830","20","500","32*37*2.5","","O-Ring","","","","",""
"L-10035","L-10035","120","30","32*34*19





32*34*19","7852 040 195","ПОДЖИМ (ZF)","","","","",""
"O-02821","O-02821","20","500","30*35*2.5","","O-Ring","","","","",""
"O-02852A","O-02852A","20","500","28*33*2.5","","O-Ring","","","","",""
"O-02851B","O-02851B","20","500","27*32*2.5","","O-Ring","","","","",""
"O-02851A","O-02851A","20","500","26*31*2.5","","O-Ring","","","","",""
"O-02820","O-02820","20","500","25*30*2.5","","O-Ring","","","","",""
"O-02849","O-02849","20","500","24*29*2.5","","O-Ring","","","","",""
"O-02762","O-02762","20","20","24*28*2","","O-Ring","","","","",""
"O-02610","O-02610","20","20","24*27*1.5","","O-Ring","","","","",""
"O-02542","O-02542","20","20","24*26*1","","O-Ring","","","","",""
"O-02920A","O-02920A","20","20","23*29*3","","O-Ring","","","","",""
"L-10140","L-10140","200","30","30.5*37*16","7852 040 243","ПОДЖИМ (ZF)","","","","",""
"O-02847","O-02847","20","300","23*28*2,5","","O-Ring","","","","",""
"O-02759","O-02759","20","20","23*27*2","","O-Ring","","","","",""
"O-02541","O-02541","20","20","23*25*1","","O-Ring","","","","",""
"O-03010","O-03010","20","20","22*30*4","","O-Ring","","","","",""
"O-02915","O-02915","20","20","22*28*3","","O-Ring","","","","",""
"L-10033","L-10033","100","20","32*31*19","7852 040 115","ПОДЖИМ (ZF)","","","","",""
"O-02844","O-02844","20","200","22.5*27*2.5","","O-Ring","","","","",""
"O-02755","O-02755","20","20","22*26*2","","O-Ring","","","","",""
"O-02644","O-02644","20","20","22*25*1.5","","O-Ring","","","","",""
"O-02753","O-02753","20","20","21*25*2","","O-Ring","","","","",""
"O-02642","O-02642","20","20","21*24*1.5","","O-Ring","","","","",""
"O-02539","O-02539","20","20","21*23*1","","O-Ring","","","","",""
"O-03012","O-03012","20","20","20*28*4","","O-Ring","","","","",""
"O-02919A","O-02919A","20","20","20*26*3","","O-Ring","","","","",""
"O-02841","O-02841","20","20","20*25*2.5","","O-Ring","","","","",""
"L-10034","L-10034","80","20","30*32*22","ПОДЖИМ (ZF)","","","","","",""
"O-02749","O-02749","20","20","20*24*2","","O-Ring","","","","",""
"O-02640","O-02640","20","20","20*23*1.5","","","","","","",""
"O-02538","O-02538","20","20","20*22*1","","O-Ring","","","","",""
"O-02602","O-02602","20","20","2.5*5.5*1.5","","O-Ring","","","","",""
"O-02601","O-02601","20","20","2*5*1.5","","O-Ring","","","","",""
"O-03011","O-03011","20","20","19*27*4","","O-Ring","","","","",""
"O-02919","O-02919","20","20","19*25*3","","O-Ring","","","","",""
"O-02817","O-02817","20","20","19*24*2,5","","O-Ring","","","","",""
"O-02743","O-02743","20","20","19*23*2","","O-Ring","","","","",""
