"Product SKU";"Product Name";"Цена";"Остаток"
48;"F-00117";"50   ";59
307;"F-00118";"80   ";254
589;"F-00120";"150   ";226
590;"F-00120M";"150   ";137
501;"F-00120X";"150   ";74
403;"F-00121";"150   ";69
399;"F-00121M";"150   ";182
334;"F-00121X";"150   ";105
31;"F-00122";"150   ";99
244;"F-00123";"150   ";530
201;"F-00123X";"150   ";112
662;"F-00124";"80   ";75
556;"F-00126";"150   ";421
567;"F-00126A";"150   ";80
813;"F-00128";"150   ";480
750;"F-00128X";"150   ";500
571;"F-00129";"150   ";75
492;"F-00129X";"150   ";35
312;"F-00130";"80   ";240
846;"F-00132";"80   ";107
811;"F-00133";"150   ";306
743;"F-00133X";"150   ";175
847;"F-00134";"80   ";124
527;"F-00135";"150   ";275
469;"F-00135X";"150   ";100
63;"F-00136";"50   ";123
133;"F-00138";"80   ";173
882;"F-00139";"150   ";15
883;"F-00139M";"150   ";58
816;"F-00139X1";"150   ";350
797;"F-00139Х";"150   ";27
100;"F-00140";"80   ";136
652;"F-00141";"80   ";229
864;"F-00142";"80   ";180
107;"F-00143";"80   ";42
106;"F-00144";"80   ";0
108;"F-00145";"80   ";31
119;"F-00146";"80   ";67
21;"F-00148";"80   ";91
15;"F-00149";"80   ";31
40;"F-00152";"50   ";82
147;"F-00153";"80   ";150
28;"F-00154";"50   ";244
120;"F-00158";"80   ";150
121;"F-00163";"80   ";150
70;"F-00163X";"80   ";241
50;"F-00164";"80   ";210
30;"F-00165";"80   ";226
152;"F-00166";"80   ";100
170;"F-00168";"80   ";200
852;"F-00169";"80   ";96
456;"F-00171";"150   ";14
459;"F-00171A";"150   ";300
880;"F-00172";"150   ";119
1058;"F-00176";"150   ";300
6;"F-00178";"150   ";245
36;"F-00182";"50   ";220
45;"F-00183";"50   ";15
102;"F-00184";"80   ";167
53;"F-00185";"50   ";286
159;"F-00186";"80   ";166
156;"F-00186A";"80   ";52
88;"F-00187";"50   ";160
65;"F-00189";"50   ";315
167;"F-00191";"80   ";200
206;"F-00193";"80   ";90
287;"F-00194";"80   ";162
293;"F-00195";"80   ";101
525;"F-00196";"80   ";100
381;"F-00198";"150   ";297
323;"F-00198X";"150   ";300
532;"F-00199";"80   ";199
891;"F-00204";"80   ";201
1026;"F-00205";"150   ";257
667;"F-00206";"80   ";1400
1059;"F-00207";"150   ";29
1038;"F-00207X";"150   ";0
987;"F-00208";"150   ";121
970;"F-00209";"80   ";214
1057;"F-00211";"150   ";465
1148;"F-00211X";"150   ";298
153;"F-00216";"150   ";61
146;"F-00217";"150   ";0
226;"F-00219";"150   ";37
186;"F-00219X";"150   ";100
232;"F-00220";"150   ";73
193;"F-00220X";"150   ";48
236;"F-00221";"150   ";150
237;"F-00221M";"150   ";35
196;"F-00221X";"150   ";60
238;"F-00222";"150   ";150
239;"F-00222M";"150   ";38
197;"F-00222X";"150   ";60
292;"F-00223";"150   ";111
233;"F-00223XX";"150   ";242
297;"F-00224";"150   ";247
