"Product SKU","Product Name","Price","Quantity","Product size,Product tip,Product tcs"
"667","F-00206","60","595",""
"666","F-00373","95","190",""
"665","F-00389","60","105",""
"664","F-00675","60","66",""
"663","F-00490","60","75",""
"662","F-00124","60","80",""
"661","F-00047","60","36",""
"660","F-00331","60","456",""
"659","F-00303","60","211",""
"658","F-00483","60","143",""
"657","F-00025","60","147",""
"656","F-00309","60","147",""
"655","F-00256","95","888",""
"654","F-00339","95","477",""
"653","F-00520","60","301",""
"652","F-00141","60","369",""
"651","F-00826X","120","64",""
"650","F-01154X","120","17",""
"649","F-01019X","120","18",""
"648","F-00990X","120","17",""
"647","F-00930X","120","25",""
"646","F-01176X","120","11",""
"645","F-00881X","120","13",""
"644","F-00400X","120","13",""
"643","F-00780X","120","61",""
"642","F-00832X","120","267",""
"641","F-00259X","120","60",""
"640","F-00247","120","200",""
"639","F-01138X","120","23",""
"638","F-00994X","120","18",""
"637","F-00813X","120","24",""
"636","F-00544X","120","27",""
"635","F-00501X","120","28",""
"634","F-00952X","120","117",""
"633","F-00542X","120","40",""
"632","F-00475X","120","96",""
"631","F-01044","120","0",""
"630","F-00447X","120","0",""
"629","F-00401X","120","0",""
"628","F-00255M","120","0",""
"627","F-00401AX","120","84",""
"626","F-00254","95","0",""
"625","F-01107X","120","104",""
"624","F-00934X","120","84",""
"623","F-00254M","120","85",""
"622","F-00253","95","256",""
"621","F-00592X","120","205",""
"620","F-00262X","120","36",""
"619","F-00380X","120","40",""
"618","F-00524","95","230",""
"617","F-00535X","120","30",""
"616","F-00399","95","233",""
"615","F-00251","95","240",""
"614","F-01170X","120","104",""
"613","F-00923X","120","55",""
"612","F-00541X","120","69",""
"611","F-00371X","120","89",""
"610","F-00261X","120","93",""
"609","F-00373X","120","61",""
"608","F-00025X","120","208",""
"607","F-00826XX","120","47",""
"606","F-00242","95","6",""
"605","F-00788","60","108",""
"604","F-00282","95","162",""
"603","F-00860","95","110",""
"602","F-00808","95","111",""
"601","F-00247X","95","282",""
"600","F-00377","95","178",""
"599","F-00714","95","210",""
"598","F-00518M","95","208",""
"597","F-00518","95","28",""
"596","F-00293","95","72",""
"595","F-00241M","95","60",""
"594","F-00241","95","19",""
"593","F-00255X","120","207",""
"592","F-00661M","95","168",""
"591","F-00661","95","266",""
"590","F-00120M","95","162",""
"589","F-00120","95","267",""
"588","F-00411","95","429",""
"587","F-00534M","95","276",""
"586","F-00534","95","984",""
"585","F-00534A","95","254",""
"584","F-00669","95","0",""
"583","F-00288M","95","0",""
"582","F-00253X","95","0",""
"581","F-00288","95","207",""
"580","F-00935","95","163",""
"579","F-00106","95","64",""
"578","F-00819","95","32",""
"577","F-00731","95","30",""
"576","F-00094","95","3",""
"575","F-00524X","95","139",""
"574","F-00094M","95","115",""
"573","F-00658","95","142",""
"572","F-00246","95","112",""
"571","F-00129","95","57",""
"570","F-00488","120","300",""
"569","F-00604","95","257",""
"568","F-00527","95","290",""
"567","F-00126A","95","90",""
"566","F-00281","95","105",""
"565","F-00244","95","93",""
"564","F-01173","60","175",""
"563","F-00096","60","95",""
