"Product SKU","Product Name","Type","Price","Quantity","size","tip"
"491","F-00488X","Simple Product","340","248","24.5*38.5/45*4/10","6V2"
"490","F-00448X","Simple Product","340","13","24.5*37.8*7 ","7V1"
"489","F-00281X","Simple Product","340","154","24.5*38*7 ","7V1"
"488","F-00070X","Simple Product","340","161","24.5*38*7 ","7V1"
"487","F-01175X","Simple Product","340","25","24.5*37.8*7 ","7V1"
"486","F-00653X","Simple Product","340","19","24.5*37.8*7 ","7V1"
"485","F-00911X","Simple Product","340","36","24.5*37.54/41.24*4.2/7.4 ","6V2"
"484","F-00764X","Simple Product","340","42","24.5*37.54/41.24*4.2/7.4 ","6V2"
"483","F-00485X","Simple Product","340","39","24.5*37.54/41.24*4.2/7.4 ","6V2"
"482","F-00467X","Simple Product","340","41","24.5*37.54/41.24*4.2/7.4 ","6V2"
"481","F-00369X","Simple Product","340","24","24.5*37.54/41.24*4.2/7.4 ","6V2"
"480","F-00023X","Simple Product","340","23","24.5*37.54/41.24*4.2/7.4 ","6V2"
"479","F-00015X","Simple Product","340","25","24.5*37.54/41.24*4.2/7.4 ","6V2"
"478","F-00243X","Simple Product","340","47","24.5*37.54*7.5 ","7V1"
"477","F-00038X","Simple Product","340","9","24.5*37.54*7.5 ","7V1"
"476","F-00014X","Simple Product","340","23","24.5*37.54*7.5 ","7V1"
"475","F-00713X","Simple Product","340","281","24.5*37*7","7V1"
"474","F-00071X","Simple Product","340","276","24.5*37*7","7V1"
"473","F-00423X","Simple Product","340","297","24.5*36*8.5","7V1"
"472","F-00107X","Simple Product","340","139","24.5*35/40*1.7/10","6V3"
"471","F-00724X","Simple Product","340","80","24.5*35*4/6.5","4V2"
"470","F-00406X","Simple Product","340","87","24.5*35*4/6.5","4V2"
"469","F-00135X","Simple Product","340","76","24.5*35*4/6.5","4V2"
"468","F-00072X","Simple Product","340","342","24.5*33/37.5*6.7/8","6V3"
"467","F-00941","Simple Product","340","281","24*50*9","7V1"
"466","F-01099","Simple Product","340","165","24*46*8","7V1"
"465","F-01096","Simple Product","340","170","24*45*12.5","7V1"
"464","F-01150","Simple Product","340","167","24*44.3*8.5","7V1"
"463","F-00712","Simple Product","340","120","24*44.3*8.5","7V1"
"462","F-00599","Simple Product","340","220","24*43*8.5 ","7V1"
"461","F-00099A","Simple Product","160","93","24*43*8.5 ","1РМ"
"460","F-00234","Simple Product","340","113","24*43*7","7V1"
"459","F-00171A","Simple Product","340","295","24*43*13","7V1"
"458","F-00965","Simple Product","340","117","24*42.5*9/10","7V1PM"
"457","F-00818","Simple Product","340","251","24*42.5*8.5","7V1"
"456","F-00171","Simple Product","340","290","24*42.5*13/14","7V1PM"
"455","F-00426","Simple Product","340","239","24*42*8","7V1"
"454","F-00407","Simple Product","340","144","24*42*8","7V1"
"453","F-00233","Simple Product","340","225","24*42*8","7V1"
"452","F-00232","Simple Product","340","230","24*42*8","7V1"
"451","F-00917","Simple Product","340","164","24*41.2*8.5 ","7V1"
"450","F-00878M","Simple Product","340","138","24*41.2*8.5 ","7V1"
"449","F-00878","Simple Product","340","39","24*41.2*8.5 ","7V2"
"448","F-00515M","Simple Product","340","276","24*41*8.5 ","7V1"
"447","F-00515","Simple Product","340","34","24*41.2*8.5","7V2"
"446","F-00231","Simple Product","340","132","24*41*8.5 ","7V1"
"445","F-00291","Simple Product","340","300","24*41*12.5 ","7V1"
"444","F-01117","Simple Product","340","33","24*40.3*9/10","7V1PM"
"443","F-00230","Simple Product","340","281","24*40*8 ","7V2"
"442","F-01009","Simple Product","340","115","24*40*8","7V1"
"441","F-00983","Simple Product","340","66","24*40*8","7V1"
"440","F-00668","Simple Product","340","97","24*40*8","7V1"
"439","F-00240","Simple Product","340","91","24*40*8","7V1"
"438","F-00230M","Simple Product","340","105","24*40*8","7V1"
"437","F-00228","Simple Product","340","42","24*40*8","7V1"
"436","F-01129","Simple Product","340","167","24*39/44*8.5/20.5","7V2"
"435","F-00919","Simple Product","340","90","24*39/44*8.5/20.5","7V2"
"434","F-00717","Simple Product","340","534","24*39.5*7","7V1"
"433","F-00397","Simple Product","340","428","24*39*8.5/16.5","7V2"
"432","F-01092M","Simple Product","340","174","24*39*8.5 ","7V1"
"431","F-01092","Simple Product","340","116","24*39*8.5 ","7V2"
"430","F-00474","Simple Product","340","168","24*39*8.5 ","7V1"
"429","F-00090M","Simple Product","340","145","24*39*8.5 ","7V1"
"428","F-00090","Simple Product","340","96","24*39*8.5","7V2"
"427","F-00488XX","Simple Product","340","177","24*38.5/45*4/10","6V2"
"426","F-01018","Simple Product","340","289","24*38.5*9/10 ","7V1PM"
"425","F-00229","Simple Product","340","311","24*38.2*8.5","7V2"
"424","F-01039","Simple Product","340","118","24*38.2*8","7V1"
"423","F-00829","Simple Product","340","145","24*38.2*8","7V1"
"422","F-00716","Simple Product","340","141","24*38.2*8","7V1"
"421","F-00543","Simple Product","340","113","24*38.2*8","7V1"
"420","F-00229M","Simple Product","340","145","24*38.2*8","7V1"
"419","F-00238","Simple Product","340","389","24*38.2*12.5","7V1"
"418","F-01039A","Simple Product","340","288","24*38.2*10.5","7V2"
"417","F-00612","Simple Product","340","111","24*38*8","7V1"
"416","F-00387M","Simple Product","160","222","24*38*7 ","0M"
"415","F-00387","Simple Product","160","91","24*38*7 ","0M"
"414","F-00911XX","Simple Product","340","30","24*37.7/41.3*4.2/7.4","6V2"
"413","F-00764XX","Simple Product","340","37","24*37.7/41.3*4.2/7.4","6V2"
"412","F-00485XX","Simple Product","340","36","24*37.7/41.3*4.2/7.4","6V2"
"411","F-00467XX","Simple Product","340","30","24*37.7/41.3*4.2/7.4","6V2"
"410","F-00369XX","Simple Product","340","36","24*37.7/41.3*4.2/7.4","6V2"
"409","F-00023XX","Simple Product","340","35","24*37.7/41.3*4.2/7.4","6V2"
"408","F-00015XX","Simple Product","340","24","24*37.7/41.3*4.2/7.4","6V2"
"407","F-00243XX","Simple Product","340","62","24*37.6*6.5","7V1"
"406","F-00227","Simple Product","340","45","24*37.6*6.5","7V1"
"405","F-00038XX","Simple Product","340","8","24*37.6*6.5","7V1"
"404","F-00014XX","Simple Product","340","86","24*37.6*6.5","7V1"
"403","F-00121","Simple Product","340","127","24*37*8 ","7V2"
"402","F-00095","Simple Product","340","145","24*37*8 ","7V2"
"401","F-00830","Simple Product","340","77","24*37*8","7V1"
"400","F-00652","Simple Product","340","148","24*37*8","7V1"
"399","F-00121M","Simple Product","340","107","24*37*8","7V1"
"398","F-00095M","Simple Product","340","80","24*37*8","7V1"
"397","F-01158","Simple Product","160","97","24*37*7","0M"
"396","F-00048","Simple Product","160","52","24*37*7","0M"
"395","F-00445","Simple Product","340","293","24*37*15/17","7V3"
"394","F-00077","Simple Product","340","321","24*37*14.5/20 ","4A"
"393","F-00601","Simple Product","340","230","24*36/37*8.5/17.7","6V2MA"
"392","F-00476","Simple Product","340","217","24*36/37*8.5/17.7","6V2MA"
"391","F-00966","Simple Product","340","286","24*36.5*9/10 ","7V1PM"
"390","F-00833","Simple Product","340","73","24*36.5*8.5","7V1"
"389","F-00226M","Simple Product","340","64","24*36.5*8.5","7V1"
"388","F-00226","Simple Product","340","238","24*36.5*8 ","7V2"
"387","F-01021","Simple Product","340","210","24*36.5*7.5 ","7V1"
"386","F-00360","Simple Product","340","107","24*36.5*7.5 ","7V1"
"385","F-00287","Simple Product","340","219","24*36.5*12","7V2"
"384","F-00237","Simple Product","340","242","24*36*8.5","7V1"
