"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"","","2619","34","F-00519","f-00182","http://artibaltika/product/f-00182/","DAF","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","Taxable","","","","","Yes","125","In Stock","No","No","","","","","","Publish","Open","18*25.5*4/6.5","P02664","4РМ","","","","",""
"","","2620","35","F-00982","f-00080","http://artibaltika/product/f-00080/","MAN","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","135","In Stock","No","No","","","","","","Publish","Open","18*25.5*4/6.5","P02664","4РМ","","","","",""
"","","2621","36","F-00182","f-00632","http://artibaltika/product/f-00632/","AUDI","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","128","In Stock","No","No","","","","","","Publish","Open","18*28*5/6","P02668","1РМ","","","","",""
"","","2622","37","F-00080","f-00782","http://artibaltika/product/f-00782/","RENAULT ESPACE","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","69","In Stock","No","No","","","","","","Publish","Open","18*30*6","P03640","1РМ","","","","",""
"","","2623","38","F-00632","f-00152","http://artibaltika/product/f-00152/","RENAULT SAFRANE","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","127","In Stock","No","No","","","","","","Publish","Open","18*30*6","P03640","1РМ","","","","",""
"","","2624","39","F-00782","f-00771","http://artibaltika/product/f-00771/","RENAULT CLIO","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","128","In Stock","No","No","","","","","","Publish","Open","18*30*6","P03640","1РМ","","","","",""
"","","2625","40","F-00152","f-00855","http://artibaltika/product/f-00855/","NISSAN","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","9","In Stock","No","No","","","","","","Publish","Open","18*30*7","P03524","1РМ","","","","",""
"","","2626","41","F-00771","f-01091","http://artibaltika/product/f-01091/","FORD","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","61","In Stock","No","No","","","","","","Publish","Open","18*30*7","P03524","1РМ","","","","",""
"","","2627","42","F-00855","f-00051","http://artibaltika/product/f-00051/","MAZDA","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","68","In Stock","No","No","","","","","","Publish","Open","18*30*7","P03524","1РМ","","","","",""
"","","2628","43","F-01091","f-00183","http://artibaltika/product/f-00183/","SUBARU","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","53","In Stock","No","No","","","","","","Publish","Open","18*30*7","P03524","1РМ","","","","",""
"","","2629","44","F-00051","f-00517","http://artibaltika/product/f-00517/","BMW","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","90","In Stock","No","No","","","","","","Publish","Open","18*30*7/8","P06162","1РМ","","","","",""
"","","2630","45","F-00183","f-00648","http://artibaltika/product/f-00648/","NISSAN","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","74","In Stock","No","No","","","","","","Publish","Open","18*30*7/8","P06162","1РМ","","","","",""
"","","2631","46","F-00517","f-00117","http://artibaltika/product/f-00117/","AUDI, WV","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","98","In Stock","No","No","","","","","","Publish","Open","18*30*7/8","P06162","1РМ","","","","",""
"","","2632","47","F-00648","f-00959","http://artibaltika/product/f-00959/","OPEL, IVECO","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","110","In Stock","No","No","","","","","","Publish","Open","18*30*7/8","P06162","1РМ","","","","",""
"","","2633","48","F-00117","f-00164","http://artibaltika/product/f-00164/","FORD","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","144","In Stock","No","No","","","","","","Publish","Open","18*32*7","P01737","1РМ","","","","",""
"","","2634","49","F-00959","f-00741","http://artibaltika/product/f-00741/","SUBARU","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","Taxable","","","","","Yes","132","In Stock","No","No","","","","","","Publish","Open","18*32*7","P01737","1РМ","","","","",""
