"Product ID","Product SKU","Product Name","Slug","Permalink","Price","Category","size"
"11749","462810","462810","44920-2","http://artibaltika/product/44920-2/","800","Пыльники рулевых реек","10*223*100"
"11748","462620","462620","462620","http://artibaltika/product/462620/","420","Пыльники рулевых реек","10*204*32"
"11742","462830","462830","462830","http://artibaltika/product/462830/","370","Пыльники рулевых реек","33*103*44"
"11738","462820","462820","462820","http://artibaltika/product/462820/","440","Пыльники рулевых реек","09*160*43"
"11737","466910","466910","466910","http://artibaltika/product/466910/","460","Пыльники рулевых реек","11*180*46"
"11736","T477210","T477210","t477210","http://artibaltika/product/t477210/","460","Пыльники рулевых реек","12.5*190*44"
"11735","T477110","T477110","t477110","http://artibaltika/product/t477110/","420","Пыльники рулевых реек","12*172*44"
"11734","T477010","T477010","t477010","http://artibaltika/product/t477010/","440","Пыльники рулевых реек","12*200*45"
"11733","T477310","T477310","t477310","http://artibaltika/product/t477310/","460","Пыльники рулевых реек","14*198*50"
"11732","T477410","T477410","t477410","http://artibaltika/product/t477410/","330","Пыльники рулевых реек","12*195*48"
"11731","1537005","1537005","1537005","http://artibaltika/product/1537005/","330","Пыльники рулевых реек","15*156*49"
"11729","44920","44920","44920","http://artibaltika/product/44920/","220","Пыльники рулевых реек","10*160*30"
"11727","1537001","1537001","1537001","http://artibaltika/product/1537001/","330","Пыльники рулевых реек","14*185*51"
"11726","449310","449310","449310","http://artibaltika/product/449310/","300","Пыльники рулевых реек","10*190*60"
"11724","1537007","1537007","1537013-2","http://artibaltika/product/1537013-2/","330","Пыльники рулевых реек","16*175*60"
"11723","1537013","1537013","1537013","http://artibaltika/product/1537013/","350","Пыльники рулевых реек","015.5*170*53"
"11722","1537011","1537011","1537011","http://artibaltika/product/1537011/","330","Пыльники рулевых реек","16*188*49"
"11718","T478410","T478410","t478410","http://artibaltika/product/t478410/","330","Пыльники рулевых реек","15*156*49"
"11717","469110","469110","469110","http://artibaltika/product/469110/","190","Пыльники рулевых реек","12*170*40"
"11715","1518002","1518002","1518002","http://artibaltika/product/1518002/","400","Пыльники рулевых реек","013.5*247*67"
"11714","476510","476510","476510","http://artibaltika/product/476510/","420","Пыльники рулевых реек","09*184*44"
"11713","T488510","T488510","t488510","http://artibaltika/product/t488510/","350","Пыльники рулевых реек","14*187*47"
"11701","T477610","T477610","t477610","http://artibaltika/product/t477610/","350","Пыльники рулевых реек","15*175*50"
"11700","T477611","T477611","t477611","http://artibaltika/product/t477611/","460","Пыльники рулевых реек","15*211*51"
"11699","Т477710","Т477710","t477710","http://artibaltika/product/t477710/","370","Пыльники рулевых реек","13*223*49"
"11698","T477612","T477612","t477612","http://artibaltika/product/t477612/","220","Пыльники рулевых реек","13*200*52"
"11697","463110","463110","463110","http://artibaltika/product/463110/","370","Пыльники рулевых реек","11*170*49"
"11696","468610","468610","468610","http://artibaltika/product/468610/","440","Пыльники рулевых реек","09.5*160*39"
"11695","469210","469210","469210","http://artibaltika/product/469210/","350","Пыльники рулевых реек","12*170*44"
"11693","469610","469610","469610","http://artibaltika/product/469610/","390","Пыльники рулевых реек","15*82*40"
"11691","469310","469310","469310","http://artibaltika/product/469310/","460","Пыльники рулевых реек","34*144*44"
"11690","469710","469710","469710","http://artibaltika/product/469710/","390","Пыльники рулевых реек","10*110*37"
"11688","469510","469510","469510","http://artibaltika/product/469510/","440","Пыльники рулевых реек","09.5*156*45"
"11687","Т494510","Т494510","t494510-2","http://artibaltika/product/t494510-2/","300","Пыльники рулевых реек","010.5*205*54.5"
"11684","Т494210","Т494210","t494210","http://artibaltika/product/t494210/","390","Пыльники рулевых реек","16*186*51"
"11683","Т494310","Т494310","t494310","http://artibaltika/product/t494310/","350","Пыльники рулевых реек","16*186*48"
"11682","Т494610","Т494610","t494610","http://artibaltika/product/t494610/","300","Пыльники рулевых реек","26*48*46"
"11681","T495610","T495610","t495610","http://artibaltika/product/t495610/","370","Пыльники рулевых реек","14*175*50"
"11678","Т495910","Т495910","t495910","http://artibaltika/product/t495910/","330","Пыльники рулевых реек","14*172*46"
"11677","T494810","T494810","t494510","http://artibaltika/product/t494510/","350","Пыльники рулевых реек","44*93*51"
"11663","466810","466810","466810","http://artibaltika/product/466810/","420","Пыльники рулевых реек","09*145*41"
"11662","462510","462510","462510","http://artibaltika/product/462510/","250","Пыльники рулевых реек","12*195*37"
"11661","462410","462410","462410","http://artibaltika/product/462410/","390","Пыльники рулевых реек","09.5*140*46"
"11660","466720","466720","466720","http://artibaltika/product/466720/","370","Пыльники рулевых реек","09.5*170*28"
"11659","466610","466610","466610","http://artibaltika/product/466610/","440","Пыльники рулевых реек","09.5*143*43"
"11658","466710","466710","466710","http://artibaltika/product/466710/","370","Пыльники рулевых реек","09.5*145*32"
"11657","446520","446520","446520","http://artibaltika/product/446520/","460","Пыльники рулевых реек","14.5*198*48"
"11656","446810","446810","446810","http://artibaltika/product/446810/","390","Пыльники рулевых реек","09*172*40"
"11655","1525007","1525007","1525007","http://artibaltika/product/1525007/","300","Пыльники рулевых реек","14*182*60.5"
