"Order Items: Product ID","Order Items: Variation ID","Order Items: SKU","Order Items: Product Name","Order Items: Quantity","Order Items: Total"
"2669","","84","F-00779","4","120"
"2673","","88","F-00418","2","60"
"2678","","93","F-00040","2","60"
"2679","","94","F-00011","2","60"
"2681","","96","F-00849","1","30"
"2683","","98","F-01105","1","30"
"2685","","100","F-00886","1","60"
"2695","","110","F-00087","2","60"
"2700","","115","F-00368","1","30"
"2724","","139","F-01159","4","120"
"2725","","140","F-00054","1","30"
"2753","","168","F-00168","3","180"
"2757","","172","F-00493","3","180"
"3454","","869","F-00754","2","180"
"3437","","852","F-00589","2","180"
"3442","","857","F-00981","2","120"
"3513","","928","F-00358","2","120"
"3497","","912","F-00495","2","120"
"3496","","911","F-00433","2","180"
"3168","","583","F-00534","2","180"
"3134","","549","F-00485","2","180"
"3432","","847","F-00169","2","120"
"3480","","895","F-00869","2","180"
"3252","","667","F-00206","4","240"
"3006","","421","F-00543","4","360"
"2962","","377","F-00831","4","360"
"2976","","391","F-00476","2","180.00"
"2987","","402","F-00121","2","180.00"
"2681","","96","F-00849","10","300"
"2645","","60","F-00779X","4","240"
"2647","","62","F-00561X","4","240"
"2696","","111","F-00677","4","120"
"2861","","276","F-00034","4","360"
"2894","","309","F-00086","6","360"
"3094","","509","F-00014M","4","360"
"3144","","559","F-00070","4","360"
"3163","","578","F-00935","10","900"
"3129","","544","F-00243M","3","270"
"3195","","610","F-00541X","3","360"
"3197","","612","F-01170X","2","240"
"3191","","606","F-00025X","4","480"
"3252","","667","F-00206","6","360"
"3416","","831","F-00847","5","450"
"3423","","838","F-00751","5","450"
"3438","","853","F-00026","6","360"
"3400","","815","F-00809","6","540.00"
"2670","","85","F-01072","5","150"
"2884","","299","F-00292M","5","450"
"2973","","388","F-00226M","5","450"
"3032","","447","F-00515M","5","450"
"3240","","655","F-00309","5","300"
"2668","","83","F-00600","5","150"
"3261","","676","F-00545","5","450"
"3333","","748","F-00589XX","5","450"
"3342","","757","F-00265","5","450"
"3452","","867","F-00589AX","5","600"
"2624","","39","F-00782","5","150"
"3167","","582","F-00669","5","450"
"3657","","1072","F-00644","5","450"
"2716","","131","F-00138","5","300"
"3252","","667","F-00206","5","300"
"3325","","740","F-00101","5","300"
"3590","","1005","F-01223","5","450"
"3641","","1056","F-0000D","5","450"
"3004","","419","F-00229","5","450"
"3021","","436","F-00228","5","450"
"3036","","451","F-00232","5","450"
"3281","","696","F-00542M","5","450"
"3288","","703","F-01138","5","450"
"3297","","712","F-00400","5","450"
"3326","","741","F-00408","5","300"
"2748","","163","F-00109","5","300"
"3131","","546","F-00023","5","450"
"3106","","521","F-00311","5","300"
"3248","","663","F-00490","5","300"
"2658","","73","F-00484","10","300"
"2890","","305","F-00118","2","120"
"2905","","320","F-00783X","2","240"
"2903","","318","F-00236X","4","480"
"2958","","373","F-00236","2","180"
"2965","","380","F-00198","2","180"
"3001","","416","F-00612","2","180"
"3021","","436","F-00228","2","180"
"3067","","482","F-00764X","4","480"
"3134","","549","F-00485","3","270"
"3428","","843","F-00088","4","240"
"3259","","674","F-00371","2","180"
"2679","","94","F-00011","2","60"
"3097","","512","F-00015","3","270"
"3131","","546","F-00023","2","180"
"2861","","276","F-00034","2","180"
"2857","","272","F-00035","2","180"
"3095","","510","F-00038","3","270"
"2717","","132","F-00063","4","120"
"2695","","110","F-00087","2","60"
"3012","","427","F-00090","2","180"
"2741","","156","F-00100","2","120"
"2748","","163","F-00109","2","120"
"3488","","903","F-00113","2","120"
"2890","","305","F-00118","2","120"
"3395","","810","F-00128","3","270"
"3393","","808","F-00133","3","270"
"3109","","524","F-00135","2","180"
"2648","","63","F-00136","2","60"
"2684","","99","F-00140","2","120"
"3237","","652","F-00141","2","120"
"2742","","157","F-00186","2","120"
"3252","","667","F-00206","5","300"
"3021","","436","F-00228","3","270"
"3155","","570","F-00246","2","180"
"2651","","66","F-00395","3","90"
"3039","","454","F-00426","2","180"
"3650","","1065","F-00444","2","180"
"3140","","555","F-00448","2","180"
"2658","","73","F-00484","2","60"
"3586","","1001","F-00585","2","180"
"3024","","439","F-00668","3","270"
"3653","","1068","F-00678","3","270"
"3125","","540","F-00713","3","270"
"3549","","964","F-00727","2","180"
"2662","","77","F-00740","4","120"
"2669","","84","F-00779","2","60"
"3262","","677","F-00812","2","180"
"3289","","704","F-00813","2","180"
"3410","","825","F-00871","2","180"
"3421","","836","F-00872","3","270"
"3300","","715","F-00930","3","270"
"3411","","826","F-00950","2","180"
"2717","","132","F-00063","10","300"
"2708","","123","F-00063X","3","180"
"2666","","81","F-00114","10","300"
"2641","","56","F-00114X","2","120"
"3252","","667","F-00206","7","420"
"3092","","507","F-00243X1","2","240"
"3523","","938","F-00539X","3","360"
"2891","","306","F-00758","5","300"
"2905","","320","F-00783X","3","360"
"3019","","434","F-00919","2","180"
"2933","","348","F-00919X","2","240"
"3642","","1057","F-01002","3","270"
"3138","","553","F-01175","4","360"
"2928","","343","F-01039X","3","360"
"3532","","947","F-01050X","2","240"
"3090","","505","F-00014X1","4","480"
"3601","","1016","F-00588","2","180"
"3593","","1008","F-00588X","2","240"
"3603","","1018","F-00587M","3","270"
"3594","","1009","F-00587X","2","240"
"2620","","35","F-00982","4","240"
"2619","","34","F-00519","4","240"
"2640","","55","F-00484X","4","240"
"2645","","60","F-00779X","4","240"
"2646","","61","F-01072X","4","240"
"2652","","67","F-01140","10","300"
"2654","","69","F-00993X","5","150"
"2669","","84","F-00779","20","600"
"2686","","101","F-00184","20","1200"
"2624","","39","F-00782","5","150"
"2698","","113","F-00895","5","150"
"2694","","109","F-00529","5","300"
"2699","","114","F-00868","5","150"
"2713","","128","F-00887X","5","300"
"2716","","131","F-00138","2","120"
"2722","","137","F-00887","5","150"
"2744","","159","F-00659","10","900"
"2888","","303","F-00032","10","600"
"2981","","396","F-01158","10","600"
"2936","","351","F-00228X","6","720"
"2945","","360","F-00233X","6","720"
